ons_id,name,region_name,electorate,result,leave,turnout,votes_cast,var1,var2,var3,var4,var5,var6,var7,var8,var9
E06000057,Northumberland,North East,240496,leave,54.1,74.4,178815,57.3,21.4,21.5,34.6,25.6,479.6,14.2,20.5,15.5
E07000004,Aylesbury Vale,South East,136235,leave,50.5,78.5,106895,9.4,26.1,23.1,9,32,555.4,32.6,13.6,18.7
E07000005,Chiltern,South East,70185,remain,45,83.6,58651,21.6,21.4,64.2,36.2,41,692.8,29.9,9.5,23.1
E07000006,South Bucks,South East,52194,leave,50.7,78.1,40755,27.3,22.8,32.6,53.9,36.9,670.1,25.1,8.2,20.9
E07000007,Wycombe,South East,125260,remain,48,75.7,94869,48.7,26,22.1,50,33.6,611.3,40.9,10.8,19.4
E07000008,Cambridge,East of England,80108,remain,26.2,72.2,57852,50.8,31.6,58.6,50.8,47.3,583.3,34.9,11,38
E07000009,East Cambridgeshire,East of England,62435,leave,50.9,77.1,48124,4.6,25.7,14.5,52,29,565.6,56.7,18,18.4
E07000010,Fenland,East of England,71447,leave,71.4,73.7,52649,62.8,23.4,20.4,52.4,14.9,457.7,6.7,26.5,9.4
E07000011,Huntingdonshire,East of England,128486,leave,54.2,77.8,99990,47.9,25.6,25.3,38.3,27.9,543.5,26.8,16,16.8
E07000012,South Cambridgeshire,East of England,114830,remain,39.8,81.2,93250,27.8,25.8,66.4,35.9,40.1,619.5,19.1,12.9,26.8
E07000026,Allerdale,North West,74426,leave,58.6,72.9,54268,22.9,21.3,15.7,51.2,22.8,533.1,13.1,23.7,13.1
E07000027,Barrow-in-Furness,North West,53194,leave,60.6,67.9,36101,58.7,23,64.3,64.3,19,492.8,57.2,23.3,14.7
E07000028,Carlisle,North West,80124,leave,60.1,74.5,59721,35.8,23.6,5.1,49.1,22.2,428,67.8,22.1,12.3
E07000029,Copeland,North West,54206,leave,62,70.1,37975,15,22.6,9.6,20.1,21,714.4,65.2,23.8,14.6
E07000030,Eden,North West,41872,leave,53.3,75.8,31746,59.3,19.7,48.5,65.9,27.4,456.7,55.6,21.1,13
E07000031,South Lakeland,North West,81948,remain,47.1,79.8,65375,13.9,19.3,65.4,56.5,33.4,518.4,48.6,17.4,16.3
E07000032,Amber Valley,East Midlands,96760,leave,60.3,76.3,73864,11.4,23.3,65.8,19.3,23.2,520.1,34.5,23.8,14.8
E07000033,Bolsover,East Midlands,58063,leave,70.8,72.3,41999,13.9,24.3,28.2,46.2,15.8,428.1,4.2,27.4,10.9
E07000034,Chesterfield,East Midlands,79905,leave,60,71.9,57470,7.1,24.3,56.5,34.4,21,486.7,32.5,25.4,14.5
